i,j,x_i,x_j,K_i_from_j_sInv,K_j_from_i_sInv,conductance_mean,conductance_difference,relative_difference,combined_standard_error,significance
9,10,0.5,1.0,0.057635794554274825,0.05760474522133227,0.06954099403809455,6.9130084507790235e-06,9.94091117965912e-05,1.7028670098741666e-05,0.40596290906415883
9,11,0.5,1.5,0.012092334906910661,0.012088927896839345,0.014588787281707889,-8.711189286384965e-06,-0.0005971153817087638,7.7750423685231e-06,1.1204040921566953
9,12,0.5,2.0,0.0017103685605458431,0.0017072813017902217,0.0020614470160604326,1.0066026059104942e-06,0.0004882990433749693,2.2947364532194758e-06,0.4386571732445563
9,13,0.5,2.5,0.00016098460419097208,0.00016101920764060372,0.0001941827152319494,-3.830711382195686e-07,-0.001972735512334318,3.5553838669218315e-08,10.774396030300455
9,14,0.5,3.0,1.0904828025969696e-05,1.0897782799022014e-05,1.3145058780207073e-05,-2.038785059896116e-08,-0.0015509896866843825,4.2795514138716876e-09,4.764015810833869
9,15,0.5,3.5,8.738646191270141e-07,8.722246285778133e-07,1.0525064678182914e-06,-7.980566576401882e-10,-0.0007582439462766016,1.5571056990187257e-09,0.5125256802689223
9,16,0.5,4.0,1.616436642347465e-07,1.6128340660071406e-07,1.94610958327714e-07,-1.6444021484554814e-10,-0.0008449689383299783,4.126180949521961e-10,0.39852884993955334
10,11,1.0,1.5,0.014016668156207663,0.014009710196064309,0.016904866344331387,9.64877716839313e-07,5.707692076269269e-05,2.9252244999041984e-06,0.3298474072232449
10,12,1.0,2.0,0.0019124114541205683,0.0019128110396639149,0.00230677964670265,-2.509376193505098e-06,-0.0010878265711647159,8.94781483827199e-07,2.8044569974468883
10,13,1.0,2.5,0.00017710996405560054,0.00017637296283285134,0.0002131188489485259,6.077266061670149e-07,0.0028515854377282115,5.459878421259464e-07,1.1130771773244483
10,14,1.0,3.0,1.2652659028527935e-05,1.2651867789334951e-05,1.5253056269970094e-05,-2.585810600333848e-08,-0.0016952737566599942,3.7849410190081744e-09,6.831838560621606
10,15,1.0,3.5,1.3664398763928344e-06,1.3617580664847709e-06,1.64413846648647e-06,2.0303482719980726e-09,0.0012349010216499189,1.5828295809013572e-09,1.282733338128462
10,16,1.0,4.0,3.3838813489787076e-07,3.379455981420433e-07,4.075010155757382e-07,-5.411956831021849e-10,-0.0013280842560295368,5.45161286763789e-10,0.9927258157211696
11,12,1.5,2.0,0.0022472171490588696,0.0022455706758859966,0.002708755504727962,7.949867763868725e-07,0.00029348783048129413,8.296573143160254e-07,0.958211013956123
11,13,1.5,2.5,0.00020304914013359,0.0002031002806917446,0.0002448185945324718,-2.768254203150064e-07,-0.0011307369068254713,3.216768772452402e-08,8.605698447636945
11,14,1.5,3.0,1.5347899255734574e-05,1.533601924975668e-05,1.849157376198997e-05,-1.005963103554056e-08,-0.0005440116219971746,3.91776100871001e-09,2.567699002868188
11,15,1.5,3.5,2.1540065217807754e-06,2.1533427925197085e-06,2.5952419115352e-06,-3.762134902361921e-09,-0.00144962783070055,1.4671475861602928e-09,2.5642511618124897
11,16,1.5,4.0,6.634702695250842e-07,6.60841553364862e-07,7.977407718616913e-07,1.4141340429706415e-09,0.0017726736464408989,9.65613380598409e-10,1.4644930066050614
12,13,2.0,2.5,0.00023976861515155988,0.0002396221128274573,0.0002889034190095324,4.961891515579183e-08,0.00017174914483845084,5.746637191971604e-08,0.8634426273701848
12,14,2.0,3.0,1.917632427628888e-05,1.917251440669332e-05,2.3105740094925648e-05,-1.5716775133860943e-08,-0.0006802108510392434,2.917304001485707e-09,5.387431383858796
12,15,2.0,3.5,3.3561933293451888e-06,3.3496769462443215e-06,4.039495995750669e-06,2.525197503371568e-09,0.0006251268737555226,1.3421215499767388e-09,1.8814968759091408
12,16,2.0,4.0,1.2027668288313344e-06,1.2022819439153302e-06,1.448440869985859e-06,-1.9620449319627195e-09,-0.0013545909761451807,9.91412187860426e-10,1.9790405605130024
13,14,2.5,3.0,2.458714377027184e-05,2.4581004750789e-05,2.9618023370521115e-05,-5.619663860324868e-09,-0.0001897379777854498,4.5271038420815975e-09,1.2413375209305786
13,15,2.5,3.5,5.120329755622387e-06,5.116258091778822e-06,6.1649843120448226e-06,-5.141282403039237e-10,-8.339489839405543e-05,1.5751982522643142e-09,0.32638954465882325
13,16,2.5,4.0,2.0521143433275483e-06,2.0472343846719824e-06,2.4682888666448934e-06,2.622522793736307e-09,0.0010624861737925598,8.381756585877988e-10,3.128846282836306
14,15,3.0,3.5,7.772756014483929e-06,7.770118759862635e-06,9.358639282086294e-06,-9.368124156038988e-10,-0.00010010134885710202,1.352409929621984e-09,0.6926985635677416
14,16,3.0,4.0,3.3295958524978826e-06,3.326690509077711e-06,4.006986654011053e-06,-2.382183247574631e-11,-5.945074075028502e-06,1.1763505448170093e-09,0.020250623915383986
15,16,3.5,4.0,5.291432957965424e-06,5.289452094425673e-06,6.368138534249913e-06,-4.1412498937007706e-10,-6.503077581349379e-05,9.292271198216167e-10,0.445666060036621
