x_Doppler,nu_Hz,Voigt_H,phi_Hz^-1,sigma_Voigt_m2,sigma_Voigt_cm2,Lee_first_order_factor,sigma_Lee1_m2,rate_at_250cm^-3_s^-1
-26.9,2464510731923546.0,6.730537622520645e-07,6.561307746984123e-18,7.247553435669581e-24,7.247553435669581e-20,1.0011314052691795,7.255753355815357e-24,5.431904647414322e-07
-26.875,2464512178776584.0,6.743091521618386e-07,6.573545995995502e-18,7.261071680368554e-24,7.261071680368554e-20,1.0011303537772938,7.269279260169659e-24,5.442036316929698e-07
-26.85,2464513625629622.0,6.75568060169089e-07,6.5858185414056544e-18,7.274627808518867e-24,7.274627808518867e-20,1.001129302285408,7.28284306232852e-24,5.452196379377561e-07
-26.825,2464515072482659.5,6.768304994408152e-07,6.598125511573919e-18,7.288221961904935e-24,7.288221961904935e-20,1.0011282507935222,7.29644490411682e-24,5.462384941022657e-07
-26.8,2464516519335697.5,6.780964832057168e-07,6.6104670354611215e-18,7.301854282975563e-24,7.301854282975563e-20,1.0011271993016362,7.310084928023981e-24,5.472602108627679e-07
-26.775,2464517966188735.5,6.793660247545418e-07,6.62284324263297e-18,7.31552491484771e-24,7.31552491484771e-20,1.0011261478097504,7.32376327720774e-24,5.482847989456089e-07
-26.75,2464519413041773.0,6.806391374404354e-07,6.635254263263457e-18,7.329234001310237e-24,7.329234001310237e-20,1.0011250963178646,7.33748009549788e-24,5.493122691274928e-07
-26.725,2464520859894811.0,6.819158346792937e-07,6.6477002281383054e-18,7.342981686827716e-24,7.342981686827716e-20,1.0011240448259786,7.35123552740005e-24,5.503426322357668e-07
-26.7,2464522306747848.5,6.831961299501165e-07,6.66018126865841e-18,7.35676811654423e-24,7.35676811654423e-20,1.0011229933340928,7.365029718099576e-24,5.513758991487063e-07
-26.675,2464523753600886.5,6.844800367953644e-07,6.6726975168433155e-18,7.370593436287219e-24,7.370593436287218e-20,1.001121941842207,7.378862813465285e-24,5.524120807958029e-07
-26.65,2464525200453924.5,6.857675688213201e-07,6.6852491053347405e-18,7.384457792571368e-24,7.384457792571368e-20,1.001120890350321,7.392734960053413e-24,5.534511881580562e-07
-26.625,2464526647306962.0,6.870587396984457e-07,6.697836167400061e-18,7.398361332602458e-24,7.398361332602459e-20,1.0011198388584353,7.406646305111451e-24,5.544932322682616e-07
-26.6,2464528094160000.0,6.883535631617504e-07,6.710458836935896e-18,7.412304204281326e-24,7.412304204281326e-20,1.0011187873665495,7.420596996582097e-24,5.555382242113082e-07
-26.575,2464529541013038.0,6.896520530111557e-07,6.7231172484716634e-18,7.426286556207791e-24,7.426286556207791e-20,1.0011177358746635,7.434587183107195e-24,5.565861751244722e-07
-26.55,2464530987866075.5,6.909542231118624e-07,6.735811537173163e-18,7.440308537684613e-24,7.440308537684613e-20,1.0011166843827777,7.448617014031693e-24,5.57637096197714e-07
-26.525,2464532434719113.5,6.922600873947256e-07,6.7485418388462275e-18,7.454370298721525e-24,7.454370298721524e-20,1.001115632890892,7.462686639407666e-24,5.5869099867398e-07
-26.5,2464533881572151.0,6.935696598566238e-07,6.7613082899403256e-18,7.468471990039215e-24,7.468471990039215e-20,1.0011145813990059,7.476796209998309e-24,5.597478938495019e-07
-26.475,2464535328425189.0,6.948829545608381e-07,6.7741110275522545e-18,7.482613763073402e-24,7.482613763073401e-20,1.00111352990712,7.490945877282012e-24,5.608077930741012e-07
-26.45,2464536775278227.0,6.961999856374307e-07,6.78695018942983e-18,7.496795769978918e-24,7.496795769978918e-20,1.0011124784152343,7.505135793456439e-24,5.618707077514956e-07
-26.425,2464538222131264.5,6.975207672836239e-07,6.799825913975586e-18,7.511018163633783e-24,7.511018163633784e-20,1.0011114269233483,7.519366111442604e-24,5.629366493396045e-07
-26.4,2464539668984302.5,6.988453137641873e-07,6.812738340250541e-18,7.52528109764338e-24,7.525281097643379e-20,1.0011103754314625,7.533636984889052e-24,5.640056293508617e-07
-26.375,2464541115837340.5,7.0017363941182e-07,6.825687607977932e-18,7.539584726344563e-24,7.539584726344563e-20,1.0011093239395767,7.547948568175964e-24,5.650776593525235e-07
-26.35,2464542562690378.0,7.015057586275429e-07,6.8386738575470356e-18,7.553929204809893e-24,7.553929204809894e-20,1.0011082724476907,7.56230101641939e-24,5.661527509669858e-07
-26.325,2464544009543416.0,7.028416858810888e-07,6.851697230016969e-18,7.568314688851828e-24,7.568314688851828e-20,1.001107220955805,7.576694485475451e-24,5.672309158720987e-07
-26.3,2464545456396453.5,7.041814357112955e-07,6.8647578671205216e-18,7.582741335026959e-24,7.582741335026959e-20,1.0011061694639192,7.591129131944563e-24,5.683121658014834e-07
