physics_orbit_id,frequency_pair_id,frequency_i,frequency_j,x_i,x_j,mu_id,mu_label,mu,edge_multiplicity,Q_SI_kg_m_per_s,DeltaE_SI_J,p_parallel_over_sigma_p,required_parallel_speed_over_c,log_dynamic_structure_factor,same_ray_frequency_change,log_dynamic_structure_factor_relative,recommended_active
31,2,0,2,-4.0,-3.0,6,0,0.0,192,7.707608032949949e-27,3.8347798901144907e-23,0.9996192579406851,1.65881922696229e-05,50.1968693735868,False,-1.3473920355144884,True
32,2,0,2,-4.0,-3.0,7,1/3,0.3333333333333333,24,6.293235606468034e-27,3.8347798901144907e-23,1.224467530183554,2.0319439283752094e-05,50.149560891758064,False,-1.3947005173432245,True
33,2,0,2,-4.0,-3.0,8,1/2,0.5,48,5.450101907577357e-27,3.8347798901144907e-23,1.4140024185530777,2.346467797848494e-05,50.043360874315034,False,-1.500900534786254,True
34,2,0,2,-4.0,-3.0,9,1/sqrt(3),0.5773502691896258,48,5.0108328871038065e-27,3.8347798901144907e-23,1.5380144211227977,2.5522596456971823e-05,49.944350275289025,False,-1.5999111338122631,True
35,2,0,2,-4.0,-3.0,10,1/sqrt(2),0.7071067811865475,48,4.171327410274833e-27,3.8347798901144907e-23,1.8476603292168432,3.0661018729415476e-05,49.60353794624619,False,-1.9407234628550967,True
36,2,0,2,-4.0,-3.0,11,sqrt(2/3),0.816496580927726,48,3.301731105440663e-27,3.8347798901144907e-23,2.334407679293263,3.873835273999754e-05,48.81952008638264,False,-2.72474132271865,True
37,2,0,2,-4.0,-3.0,12,1,1.0,26,1.279144630446954e-31,3.8347798901144907e-23,60260.90366545786,1.0000001984787223,-1815688193.5859509,True,-1815688245.1302123,False
38,3,0,3,-4.0,-2.5,0,-1,-1.0,26,1.0900267770147307e-26,5.752169835155171e-23,1.0600864526641613,1.7591615767229498e-05,49.78801760272743,False,-1.7562438063738597,True
39,3,0,3,-4.0,-2.5,1,-sqrt(2/3),-0.816496580927726,48,1.0388179881831246e-26,5.752169835155171e-23,1.1124066987799985,1.8459844640642212e-05,49.77930365958422,False,-1.764957749517066,True
40,3,0,3,-4.0,-2.5,2,-1/sqrt(2),-0.7071067811865475,48,1.0070534291999221e-26,5.752169835155171e-23,1.1475330731760807,1.904274962930495e-05,49.77066676115561,False,-1.7735946479456786,True
41,3,0,3,-4.0,-2.5,3,-1/sqrt(3),-0.5773502691896258,48,9.68024259041374e-27,5.752169835155171e-23,1.1938475710761212,1.981131605090395e-05,49.755973627840596,False,-1.788287781260692,True
42,3,0,3,-4.0,-2.5,4,-1/2,-0.5,48,9.439908797487811e-27,5.752169835155171e-23,1.2242713694261524,2.0316184092004153e-05,49.74433008946443,False,-1.7999313196368618,True
43,3,0,3,-4.0,-2.5,5,-1/3,-0.3333333333333333,24,8.900031366211375e-27,5.752169835155171e-23,1.2986026926123202,2.1549676014926668e-05,49.70945732363511,False,-1.8348040854661818,True
44,3,0,3,-4.0,-2.5,6,0,0.0,192,7.707653258214425e-27,5.752169835155171e-23,1.499651523069366,2.488598294250107e-05,49.57200549109138,False,-1.9722559180099068,True
45,3,0,3,-4.0,-2.5,7,1/3,0.3333333333333333,24,6.293272533283501e-27,5.752169835155171e-23,1.8368794833387034,3.048211586931635e-05,49.21215227215735,False,-2.3321091369439415,True
46,3,0,3,-4.0,-2.5,8,1/2,0.5,48,5.450133887606717e-27,5.752169835155171e-23,2.1211548309800863,3.519952610999517e-05,48.79340751788856,False,-2.750853891212728,True
