virtual_index,energy_eV,frequency_Hz,tau,A_photons_per_H_per_dlnnu_per_occupation,Dfplus,Dfbar,Dfeq,Dfminus,transport_flux_sInv_per_H,collision_flux_sInv_per_H,direct_flux_sInv_per_H,schur_flux_sInv_per_H
77,9.80654,2371210822207543.0,0.0006759795045403828,49707744644239.89,1.2683164002979623e-14,1.2690672057845502e-14,3.490202322688342e-14,1.2698178421138043e-14,3.7090140292946556e-17,3.7090140292944787e-17,3.7090140292942654e-17,3.7090140292942654e-17
78,9.8165211,2373624241449960.5,0.0006962565423990347,49859676858087.62,1.253643567238159e-14,1.2543760592173597e-14,3.358218376031544e-14,1.2551083812154169e-14,3.6295923028291175e-17,3.6295923028290664e-17,3.6295923028291175e-17,3.6295923028291175e-17
79,9.8264751,2376031107941532.0,0.0007174564452202698,50011504570479.96,1.2391799628654655e-14,1.2398945173368315e-14,3.2315667442640903e-14,1.2406089009414406e-14,3.55147890518414e-17,3.551478905184326e-17,3.55147890518414e-17,3.55147890518414e-17
80,9.8364018,2378431373322472.5,0.0007396662487867114,50163222519885.875,1.2249225661509378e-14,1.2256195667586142e-14,3.1100226868187387e-14,1.2263163955379547e-14,3.474729131323165e-17,3.4747291313232667e-17,3.474729131323558e-17,3.474729131323558e-17
81,9.8462742,2380818509021828.0,0.0007628882061656269,50314414577153.77,1.2109025375520924e-14,1.2115823950768577e-14,2.993681234277201e-14,1.2122620797387398e-14,3.399468510484719e-17,3.399468510484662e-17,3.3994685104843244e-17,3.3994685104843244e-17
82,9.8561193,2383199043610553.0,0.0007873236031014631,50465490777957.25,1.1970815168573536e-14,1.1977446305304585e-14,2.8819991550294075e-14,1.198407570198122e-14,3.32568725080521e-17,3.325687250805171e-17,3.32568725080521e-17,3.32568725080521e-17
83,9.8659101,2385566448517694.0,0.0008129962413860215,50616033348794.9,1.1834900201403147e-14,1.1841368187108275e-14,2.7750689991729368e-14,1.1847834420233304e-14,3.25352555571409e-17,3.2535255557142054e-17,3.253525555714487e-17,3.253525555714487e-17
84,9.8756737,2387927276494096.0,0.0008401511711559432,50766455538759.06,1.1700903391118371e-14,1.1707212420545455e-14,2.6723905472878324e-14,1.1713519683373177e-14,3.1829842796033005e-17,3.182984279603413e-17,3.1829842796033005e-17,3.1829842796033005e-17
85,9.8853828,2390274926429128.5,0.0008688431090000113,50916333314230.4,1.1569127229027984e-14,1.157528182583369e-14,2.5740568149310772e-14,1.1581434640437149e-14,3.114223299327304e-17,3.1142232993273e-17,3.114223299327304e-17,3.114223299327304e-17
86,9.8950648,2392616023613315.0,0.0008993765942290581,51066086217962.6,1.1439198384920471e-14,1.1445203003227637e-14,2.4796047159649623e-14,1.1451205821667957e-14,3.047254956396482e-17,3.0472549563966393e-17,3.047254956396482e-17,3.047254956396482e-17
