physics_orbit_id,frequency_i,frequency_j,x_i,x_j,width_i,width_j,mu_id,mu_label,mu,edge_multiplicity,Q_SI,DeltaE_SI,p_parallel_over_sigma,required_speed_over_c,active,background_lane,max_fractional_detuning
2407,7,10,-3.5,-2.0,0.5,0.5,10,1/sqrt(2),0.7071067811865475,48,4.1714008385005416e-27,5.752169835188301e-23,2.7715669518390227,4.599279687743515e-05,True,series_v0_8,8.213320437901116e-05
2408,7,10,-3.5,-2.0,0.5,0.5,11,sqrt(2/3),0.816496580927726,48,3.301789227246511e-27,5.752169835188301e-23,3.5016490139818957,5.810815132186441e-05,True,series_v0_8,8.213320437901116e-05
2409,7,10,-3.5,-2.0,0.5,0.5,12,1,1.0,26,1.9187173756528864e-31,5.752169835188301e-23,60260.890161225274,0.999999974382593,False,series_v0_8,8.213320437901116e-05
2410,7,11,-3.5,-1.5,0.5,0.5,0,-1,-1.0,26,1.0900459641879955e-26,7.669559780228981e-23,1.413641902828167,2.345869539650331e-05,True,series_v0_8,8.213320437901116e-05
2411,7,11,-3.5,-1.5,0.5,0.5,1,-sqrt(2/3),-0.816496580927726,48,1.0388362739674125e-26,7.669559780228981e-23,1.483390753114626,2.4616143424786075e-05,True,series_v0_8,8.213320437901116e-05
2412,7,11,-3.5,-1.5,0.5,0.5,2,-1/sqrt(2),-0.7071067811865475,48,1.0070711558574071e-26,7.669559780228981e-23,1.530218736589161,2.5393230888141453e-05,True,series_v0_8,8.213320437901116e-05
2413,7,11,-3.5,-1.5,0.5,0.5,3,-1/sqrt(3),-0.5773502691896258,48,9.680412986991519e-27,7.669559780228981e-23,1.5919625014027785,2.6417838441509975e-05,True,series_v0_8,8.213320437901116e-05
2414,7,11,-3.5,-1.5,0.5,0.5,4,-1/2,-0.5,48,9.440074963661696e-27,7.669559780228981e-23,1.6325220413171275,2.709090415240146e-05,True,series_v0_8,8.213320437901116e-05
2415,7,11,-3.5,-1.5,0.5,0.5,5,-1/3,-0.3333333333333333,24,8.900188029361249e-27,7.669559780228981e-23,1.7316179215195078,2.8735351776700975e-05,True,series_v0_8,8.213320437901116e-05
2416,7,11,-3.5,-1.5,0.5,0.5,6,0,0.0,192,7.707788932946403e-27,7.669559780228981e-23,1.9996544435716401,3.318328665566828e-05,True,series_v0_8,8.213320437901116e-05
2417,7,11,-3.5,-1.5,0.5,0.5,7,1/3,0.3333333333333333,24,6.2933833119965656e-27,7.669559780228981e-23,2.4492554988410107,4.064419608712325e-05,True,series_v0_8,8.213320437901116e-05
2418,7,11,-3.5,-1.5,0.5,0.5,8,1/2,0.5,48,5.4502298254431215e-27,7.669559780228981e-23,2.828265747241256,4.693368563294576e-05,True,series_v0_8,8.213320437901116e-05
2419,7,11,-3.5,-1.5,0.5,0.5,9,1/sqrt(3),0.5773502691896258,48,5.0109504957630606e-27,7.669559780228981e-23,3.076257552216515,5.104898824395701e-05,True,series_v0_8,8.213320437901116e-05
2420,7,11,-3.5,-1.5,0.5,0.5,10,1/sqrt(2),0.7071067811865475,48,4.171425316807762e-27,7.669559780228981e-23,3.695484418701989,6.13247549803224e-05,True,series_v0_8,8.213320437901116e-05
