event_id,beta_norm,nu_in_Hframe_Hz,nu_in_initial_rest_Hz,nu_out_initial_rest_Hz,mu_initial_rest,four_momentum_relative,initial_mass_shell_relative,final_mass_shell_relative,incoming_null_absolute,outgoing_null_absolute,reverse_photon_relative,reverse_atom_relative,reverse_four_momentum_relative,same_event_transfer_absolute
1122,0.4723936992609684,3625891660676354.0,4694570608611464.0,4694570577042780.0,0.6748495609232077,8.503923415370968e-18,1.659093532133914e-16,3.318187064267828e-16,0.0,9.273015376718553e-69,1.8251614544878845e-16,0.0,3.0125484533399654e-17,0.0
1123,0.2524587316516221,4903353874696691.0,5967640219596332.0,5967640023553203.0,-0.24958553609731052,2.1560310022594162e-17,0.0,1.659093532133914e-16,0.0,3.7092061506874214e-68,2.1451945883002023e-16,0.0,2.1651198126066446e-17,0.0
1124,0.35468016538740943,4517716948644771.0,5650551259894279.0,5650551195269738.0,0.5405529611239434,2.96893230370237e-17,1.659093532133914e-16,0.0,0.0,3.7092061506874214e-68,1.1431778038025596e-16,0.0,3.233368736732776e-17,0.0
1125,0.31154005715471733,2033718823503393.2,2542804505763671.5,2542804458491005.5,-0.6596013177788229,1.6228390651740253e-17,3.318187064267828e-16,4.977280596401743e-16,4.636507688359277e-69,4.636507688359277e-69,3.269313216987023e-16,0.0,2.31760370126158e-17,0.0
1126,0.030402471781445305,3570896161860281.0,3658748740951055.0,3658748734696334.5,0.8939373738298496,3.9240500959917744e-17,3.318187064267828e-16,3.318187064267828e-16,9.273015376718553e-69,0.0,0.0,0.0,4.2509185020639804e-17,0.0
1127,0.3845372016501818,1801038326582891.0,2033767549833150.5,2033767529865339.2,-0.09584077317255676,3.6809219950858957e-17,0.0,1.659093532133914e-16,2.3182538441796384e-69,4.636507688359277e-69,1.7157987042066838e-16,0.0,1.2749636562605878e-17,0.0
1128,0.39336905966073665,2373520462424769.0,3123147243644853.0,3123147200997025.0,0.00749747070474537,2.416122691319701e-17,3.318187064267828e-16,0.0,9.273015376718553e-69,0.0,8.434174852432565e-16,0.0,1.9125263198474503e-17,0.0
1129,0.2835803840594277,1881292549004196.8,1432615089144083.0,1432615083559619.5,0.38235056921732974,3.74709059187254e-17,1.659093532133914e-16,1.659093532133914e-16,2.3182538441796384e-69,2.3182538441796384e-69,0.0,0.0,2.1381523135651775e-17,0.0
1130,0.42445846371974705,4537707677740438.0,4243246317573278.5,4243246284112776.5,0.5781523955276668,3.1282832250873395e-17,0.0,0.0,1.8546030753437107e-68,3.7092061506874214e-68,3.819013518111072e-16,0.0,1.0599154335786936e-17,0.0
1131,0.06384389490457476,3768674557966415.0,3697977052543308.5,3697977051574060.0,0.9839110977949701,4.4663018085344086e-17,1.659093532133914e-16,1.659093532133914e-16,1.8546030753437107e-68,0.0,3.498795963873931e-16,0.0,1.440308941893872e-17,0.0
