exterior_index,side,exterior_left,exterior_right,interior_index,interior_left,interior_right,S0_m^-3_s^-1,S1_m^-3_s^-1,S2_m^-3_s^-1,photon_delta_p0_weighted,photon_delta_ppar_weighted
5,red,-4.75,-4.25,16,3.75,4.25,2.3688020872469886e-10,-2.0934096466305494e-10,1.6166815706978552e-10,-2.5323403799608507e-40,-2.4321554279193274e-36
6,blue,4.25,4.75,0,-4.25,-3.75,2.3679600722198563e-10,-2.0925503814941358e-10,1.6158093835241672e-10,2.531451255657927e-40,-2.4312185596660038e-36
6,blue,4.25,4.75,1,-3.75,-3.25,2.1699077578236255e-10,-1.692035299040714e-10,9.307464077445781e-11,2.1809653996203535e-40,-2.1049681910333484e-36
6,blue,4.25,4.75,2,-3.25,-2.75,2.0627945690212323e-10,-1.4108891051551887e-10,4.6825902130771265e-11,1.9413177223549487e-40,-1.89334796018846e-36
6,blue,4.25,4.75,3,-2.75,-2.25,2.228171761444261e-10,-1.3953944411371617e-10,3.042399162846731e-11,1.9544927960478165e-40,-1.975049687015438e-36
6,blue,4.25,4.75,4,-2.25,-1.75,3.3127538677007644e-10,-2.1794568242227644e-10,7.87002357384621e-11,2.695395743975448e-40,-2.9935955242780034e-36
6,blue,4.25,4.75,5,-1.75,-1.25,7.512568441177494e-10,-5.555065847903826e-10,3.0887834284857534e-10,5.6399463648460794e-40,-7.12275245739829e-36
6,blue,4.25,4.75,6,-1.25,-0.75,2.16841176517316e-09,-1.6960894342861408e-09,1.0568614975457337e-09,1.491929931718143e-39,-2.1064351387248522e-35
6,blue,4.25,4.75,7,-0.75,-0.25,6.522464512809112e-09,-5.115110733409326e-09,3.1514134843785703e-09,4.0783342342131396e-39,-6.343370329228124e-35
6,blue,4.25,4.75,8,-0.25,0.25,1.872895558365907e-08,-1.4334275627978734e-08,8.303764033323315e-09,1.053451558798471e-38,-1.8022102595541095e-34
6,blue,4.25,4.75,9,0.25,0.75,4.983091218876003e-08,-3.6588798762484077e-08,1.926787851587479e-08,2.4897730697424973e-38,-4.710591682768926e-34
6,blue,4.25,4.75,10,0.75,1.25,1.2159594417225443e-07,-8.41949221514483e-08,3.8768982673583584e-08,5.311288464330898e-38,-1.1217373801854541e-33
6,blue,4.25,4.75,11,1.25,1.75,2.712860801438473e-07,-1.73004666094725e-07,6.563234884428522e-08,1.0144078952055174e-37,-2.4217805654277856e-33
6,blue,4.25,4.75,12,1.75,2.25,5.538989489552861e-07,-3.131302570467853e-07,8.770227007050231e-08,1.7226466740308545e-37,-4.726108226843477e-33
6,blue,4.25,4.75,13,2.25,2.75,1.0402159565862714e-06,-4.857669563322008e-07,7.717560683640602e-08,2.5796366154989476e-37,-8.318059445784786e-33
6,blue,4.25,4.75,14,2.75,3.25,1.8164832187230604e-06,-5.994605046314849e-07,9.489754204743267e-09,3.3571231585374585e-37,-1.3169267305581517e-32
6,blue,4.25,4.75,15,3.25,3.75,3.0071420963692892e-06,-4.133682041103388e-07,-3.890786104650499e-08,3.649882498273326e-37,-1.8645255002697075e-32
6,blue,4.25,4.75,16,3.75,4.25,4.859778775897773e-06,6.12240356471098e-07,4.2313030075657325e-07,2.7977680017823975e-37,-2.315357534581523e-32
7,blue,4.75,5.25,0,-4.25,-3.75,2.0309665497843585e-12,-1.6354449743078968e-12,9.860376278731472e-13,2.2987933384651764e-42,-1.998393168450862e-38
7,blue,4.75,5.25,1,-3.75,-3.25,2.017501839659503e-12,-1.464118187072383e-12,6.280336043270798e-13,2.154260941898503e-42,-1.897674851631261e-38
7,blue,4.75,5.25,2,-3.25,-2.75,2.5889454332017914e-12,-1.838228240951612e-12,7.825998662216907e-13,2.5983135335318127e-42,-2.413068790405298e-38
7,blue,4.75,5.25,3,-2.75,-2.25,5.798624832084428e-12,-4.55140015802231e-12,2.804658446644949e-12,5.450180103247694e-42,-5.641435468008787e-38
7,blue,4.75,5.25,4,-2.25,-1.75,2.0612258287136103e-11,-1.733741109197485e-11,1.241554831408725e-11,1.8073641201610733e-41,-2.0685232458108467e-37
7,blue,4.75,5.25,5,-1.75,-1.25,8.324109017772164e-11,-7.084710935369803e-11,5.142217012198845e-11,6.775396180682049e-41,-8.398946016282837e-37
7,blue,4.75,5.25,6,-1.25,-0.75,3.270779364810714e-10,-2.7523827610464583e-10,1.9417676321696781e-10,2.4566097723679612e-40,-3.2830882947945034e-36
7,blue,4.75,5.25,7,-0.75,-0.25,1.195685592877264e-09,-9.852729284225114e-10,6.639634050075603e-10,8.228890584861706e-40,-1.1887975609930188e-35
7,blue,4.75,5.25,8,-0.25,0.25,4.009186424892747e-09,-3.2128428488677737e-09,2.039376719326404e-09,2.507191678590516e-39,-3.936608255796536e-35
7,blue,4.75,5.25,9,0.25,0.75,1.2256842961856455e-08,-9.479758633244568e-09,5.57340929474676e-09,6.894657329729396e-39,-1.1848327215025184e-34
7,blue,4.75,5.25,10,0.75,1.25,3.406539926654544e-08,-2.5172676078821785e-08,1.3391448510017825e-08,1.7021447532991483e-38,-3.2290053451769677e-34
7,blue,4.75,5.25,11,1.25,1.75,8.59743742447039e-08,-5.982233235576747e-08,2.780398118551525e-08,3.755508599250739e-38,-7.947269852054916e-34
7,blue,4.75,5.25,12,1.75,2.25,1.9714244407556487e-07,-1.2630326670238317e-07,4.8427663469644555e-08,7.372003090709393e-38,-1.7630882736086223e-33
7,blue,4.75,5.25,13,2.25,2.75,4.1183594574844665e-07,-2.3401398943771527e-07,6.653098054942466e-08,1.2809004659556964e-37,-3.52051897717862e-33
7,blue,4.75,5.25,14,2.75,3.25,7.885653116182209e-07,-3.706880340323746e-07,6.065918184088532e-08,1.9557296074907355e-37,-6.319108880570716e-33
7,blue,4.75,5.25,15,3.25,3.75,1.3999901205723265e-06,-4.668235516771933e-07,1.0191060793829709e-08,2.587724555596205e-37,-1.0176089138065296e-32
7,blue,4.75,5.25,16,3.75,4.25,2.3506179849313254e-06,-3.3205334531065613e-07,-2.8088067363044834e-08,2.853713171037774e-37,-1.4623455961836528e-32
8,blue,5.25,6.0,0,-4.25,-3.75,1.2567518135530933e-14,-9.614572583412686e-15,4.990979716278416e-15,1.5017367074319415e-44,-1.209047506144357e-40
8,blue,5.25,6.0,1,-3.75,-3.25,2.1741426734203064e-14,-1.725838100978048e-14,1.0527133327681218e-14,2.459520408459085e-44,-2.125726510178346e-40
8,blue,5.25,6.0,2,-3.25,-2.75,8.026808686167412e-14,-6.95991774524162e-14,5.283202618569054e-14,8.577308858687113e-44,-8.168770452606113e-40
8,blue,5.25,6.0,3,-2.75,-2.25,4.19596990922277e-13,-3.7326610022590346e-13,2.9619776420655525e-13,4.221890035154709e-43,-4.321668547626589e-39
8,blue,5.25,6.0,4,-2.25,-1.75,2.2545441029218804e-12,-1.999064370880899e-12,1.5700345258417957e-12,2.127721503767603e-42,-2.3185338745511456e-38
8,blue,5.25,6.0,5,-1.75,-1.25,1.142900764410631e-11,-1.0017832783991783e-11,7.675931078381836e-12,1.0072692117756306e-41,-1.169019575229399e-37
8,blue,5.25,6.0,6,-1.25,-0.75,5.345740409631769e-11,-4.61445130611114e-11,3.424587143729595e-11,4.377819203682458e-41,-5.4291101673976045e-37
8,blue,5.25,6.0,7,-0.75,-0.25,2.2869224020156969e-10,-1.9375060659834206e-10,1.3829496897694354e-10,1.7302406836204178e-40,-2.3026683788854297e-36
8,blue,5.25,6.0,8,-0.25,0.25,8.905205917353206e-10,-7.375401830711758e-10,5.019834866564092e-10,6.182525649186779e-40,-8.87434934345765e-36
8,blue,5.25,6.0,9,0.25,0.75,3.1468815236178315e-09,-2.534899017365267e-09,1.6267829271976615e-09,1.988737867266677e-39,-3.0970828835805956e-35
8,blue,5.25,6.0,10,0.75,1.25,1.0073134981194868e-08,-7.838649587029087e-09,4.671554714272459e-09,5.738759149653109e-39,-9.763593488403643e-35
8,blue,5.25,6.0,11,1.25,1.75,2.9181713529266797e-08,-2.1733070818705333e-08,1.1771857587747202e-08,1.4808754725237535e-38,-2.7753463832917424e-34
8,blue,5.25,6.0,12,1.75,2.25,7.651431800780581e-08,-5.380477282898821e-08,2.565220630331964e-08,3.406656230624148e-38,-7.10368630233414e-34
8,blue,5.25,6.0,13,2.25,2.75,1.8180072588144224e-07,-1.1824326332365904e-07,4.713526537815308e-08,6.962626053424239e-38,-1.6355472947722905e-33
8,blue,5.25,6.0,14,2.75,3.25,3.92614450340517e-07,-2.282950671128458e-07,6.940011824794762e-08,1.2590391448129699e-37,-3.384612324329766e-33
8,blue,5.25,6.0,15,3.25,3.75,7.751801442883652e-07,-3.7882528163314574e-07,7.183398304599536e-08,2.0020368151348303e-37,-6.290583136661364e-33
