target_i,source_j,x_i,x_j,conductance_m^-3_s^-1,K_i_from_j_s^-1,K_j_from_i_s^-1,pair_balance_relative,relative_to_Hummer_i_from_j,relative_to_v033_i_from_j
4,8,-2.0,0.0,0.0019856492739605334,0.0016441851859114122,0.001641297567787891,0.0,0.0016243150883670232,0.0007443717496171676
4,9,-2.0,0.5,0.0020601357571014816,0.0017066123386055509,0.0017028665896768704,0.0,0.002143244851553705,0.0010428663619095335
4,10,-2.0,1.0,0.0022922896416983857,0.0018997628235638882,0.0018947602997787596,0.0,0.0026581012975168683,0.0013371134145963026
4,11,-2.0,1.5,0.002679541705394374,0.0022216787726516644,0.0022148550308071255,0.0,0.0031490490000973814,0.0016073107167366985
4,12,-2.0,2.0,0.0019736433165349937,0.0016371190598703784,0.0016313736859725494,0.0,0.0017569032150821506,-2.4454570671794684e-06
4,13,-2.0,2.5,0.00026786306611723497,0.00022228762422648864,0.00022141019800617776,0.0,0.0003246909964387257,-0.0016515300677309996
4,14,-2.0,3.0,1.471374941539873e-05,1.2215652114118092e-05,1.2162087960461458e-05,0.0,0.0008778101732442867,-0.0013189645599672728
4,15,-2.0,3.5,5.271051766125702e-07,4.3780572288635557e-07,4.3569448829049035e-07,0.0,0.0016131250045017254,-0.0008048377028906373
4,16,-2.0,4.0,1.2983286645514515e-08,1.0788464847757681e-08,1.0731722400639583e-08,-6.371118770906928e-17,0.0025531677908405825,-8.679621931373394e-05
5,6,-1.5,-1.0,0.01695365628902782,0.014025871672275004,0.014019709341784576,0.0,0.00045513178184442005,0.00023533037362932774
5,7,-1.5,-0.5,0.014630468937007972,0.012109203689504069,0.012098565556245668,0.0,0.0009202735457256583,0.0004805145348609763
5,8,-1.5,0.0,0.013850521542209187,0.011468703277807489,0.011453593428077785,6.262303808164452e-17,0.0014404620022514525,0.0007805529479050222
5,9,-1.5,0.5,0.01460756948948481,0.012100881333600749,0.012079629015779764,0.0,0.0019913165961689128,0.001111050304723582
5,10,-1.5,1.0,0.016887443119249893,0.013995673164247551,0.01396495481691636,0.0,0.002529039814605616,0.0014282370318470239
